"FCT record ID","FCT","Food ID","Locale","Food code","English name","Local name","Sub-group code","Alternative Name","Tags","Water","Total nitrogen","Nitrogen conversion factor","Protein","Fat","Carbohydrate","Energy (kcal)","Energy (kJ)","Alcohol","Englyst fibre","Starch","Total sugars","AOAC","Non-milk extrinsic sugars","Intrinsic and milk sugars","Glucose","Fructose","Maltose","Lactose","Sucrose","Other sugars (UK)","FS Table sugar","FS Other Added Sugar","FS Honey","FS Fruit Juice","FS Dried Fruit","FS Fruit Puree","FS Stewed Fruit","FS Vegetable Puree","Satd FA","Cis-Mon FA","Cis-n3 FA","Cis-n6 FA","Trans FA","Cholesterol","Retinol","Total carotene","Alpha-carotene","Beta-carotene","Beta cryptoxanthin","Vitamin A","Vitamin D","Thiamin","Riboflavin","Niacin","Tryptophan/60","Niacin equivalent","Vitamin C","Vitamin E","Vitamin B6","Vitamin B12","Folate","Pantothenic acid","Biotin","Sodium","Potassium","Calcium","Magnesium","Phosphorus","Iron","Haem iron","Non-haem iron","Copper","Zinc","Chloride","Iodine","Manganese","Selenium","Total FS","Fruit","Dried fruit","Fruit juice","Smoothie fruit","Tomatoes","Tomato puree","Brassicaceae","Yellow Red Green","Beans","Nuts","Other Vegetables","Beef","Lamb","Pork","Processed Red Meat","Other Red Meat","Burgers","Sausages","Offal","Poultry","Processed Poultry","Game Birds","White Fish","Oily Fish","Canned Tuna","Shellfish","Cottage Cheese","Cheddar Cheese","Other Cheese","Vitamin A, retinol activity equivalents"
"9992","UK_NDB_3","30092","UK_current","197UPFRL","7 Up free / light","7 Up Zero sugar / Sprite Zero","58B","","","100","0","6.25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","2","5","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"11581","UK_NDB_3","30095","UK_current","19ABSAS","Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted","Apple and blackcurrant squash / juice, with ADDED SUGAR, diluted","57A","","","96.7","0","6.25","0","0","2.5","9","39","0","0","0","2.5","0","2.5","0","1","0.9","0.2","0","0.3","0","2.3","0","0","0.2","0","0","0","0","0","0","0","0","0","0","0","38","0","38","0","6","0","0","0","0","0","0","0.6","0","0","0","0","0","0","6","3","1","0","0","0","0","0","0","0","0","0","0","0","2.5","0","0","3.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"1651","UK_NDB_3","30069","UK_current","19ACCA","Ackee, canned","Ackee, canned","40D","","","76.7","0.5","6.25","2.9","15.2","0.8","151","625","0","1.7","0","0.8","2.3","0","0.8","0.1","0","0","0","0.7","0","0","0","0","0","0","0","0","0","3.2","9.45","0","1.74","0","0","0","16","4","14","0","3","0","0.03","0.07","0.6","0.5","1.1","30","2.5","0.1","0","41","1.1","4","240","270","35","40","47","0.7","0","0.7","0.27","0.6","340","0","0.2","1","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"8826","UK_NDB_3","30070","UK_current","19ADBE","Aduki beans","Aduki beans","37I","","","59.4","1.5","6.25","9.3","0.2","22.5","123","525","0","5.5","20.8","0.5","7.3","0","1.7","0","0","0.1","0","0.3","0","0","0","0","0","0","0","0","0","0.06","0.01","0.04","0.05","0","0","0","6","0","6","0","1","0","0.14","0.08","0.9","1.5","2.4","0","0.1","0.1","0","210","0.3","7","2","570","39","60","180","1.9","0","1.9","0.51","2.3","1","1","0.8","1","0","0","0","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10097","UK_NDB_3","30071","UK_current","19ADD3CA","Adcal D3, calcium (600mg) with vitamin D (10ug), tablet (including effervescent)","Adcal D3, calcium (600mg) with vitamin D (10ug), including effervescent","54F","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"3401","UK_NDB_3","30072","UK_current","19AMACPO","Amino acid powder, scoop (5g)","Amino acid powder, scoop (5g)","54K","","","0","0.8","6.25","5","0","0","20","85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"858","UK_NDB_3","30073","UK_current","19ANFAEG","Animal fat (e.g. beef dripping, chicken fat)","Animal fat (e.g. beef dripping, chicken fat)","20C","","","1","0","6.25","0","99","0","891","3663","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.6","42.99","0.51","8.88","0","93","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1","1","1","3","0.1","0","0.1","0.02","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"2417","UK_NDB_3","30074","UK_current","19APCH","Apple chutney","Apple chutney","50R","","","47.7","0.1","6.25","0.9","0.2","49.2","190","810","0","1.3","0.1","49.1","1.7","45.4","3.7","4.3","5.7","0","0","38.4","0","26.4","12.4","0","0","2.3","0","7.3","0","0","0","0","0.14","0","0","0","11","0","7","7","2","0","0.05","0.01","0.3","0.2","0.5","5","0.2","0.1","0","4","0","1","166","186","20","9","23","0.8","0","0.8","0.1","0.2","263","1","0.11","1","38.8","28.86","5.37","0","0","0","0","0","0","0","0","21.49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"11537","UK_NDB_3","30093","UK_current","19APELJU","Apple & elderflower juice (e.g. Copella), 100% juice","Apple & elderflower juice (e.g. Copella), 100% juice","45R","","","87.8","0","6.25","0.1","0.1","10.4","40","172","0","0","0","10.4","0","10.4","0","2.6","6.2","0","0","1.6","0","0.5","0","0","9.8","0","0","0","0","0.02","0.01","0.01","0.04","0","0","0","0","0","0","0","0","0","0.01","0.01","0.1","0","0.1","63","0","0","0","4","0","1","2","109","7","5","6","0.1","0","0.1","0","0","3","0","0","0","10.3","0","99.01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"11050","UK_NDB_3","30091","UK_current","19APGRMI","Toddler/ growing up milk (2-3 years), e.g. Aptamil 4, Cow &amp; Gate 4","Toddler/ growing up milk (2-3 years), e.g. Aptamil 4, Cow &amp; Gate 4","13A","","","85.6","0.2","6.38","1.3","1.9","6.9","48","203","0","0.7","0.8","6.1","0.9","0.6","5.5","0","0.3","0.3","5.5","0","0","0","6.1","0","0","0","0","0","0","0.4","1.1","0.04","0.26","0","0","62","0","0","0","0","62","2.9","0.04","0.23","0.2","0","0.2","15","1","0.1","0.4","9","0.6","1","20","117","120","10","93","1.2","0","1.2","0.06","0.9","39","20","0.01","2","6.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
