Intake24 code,Action,English Description,Local description,Local description/Malay,Local description/Mandarin,Local description/Tamil,Food composition table,Food composition record ID,Ready Meal Option,Same As Before Option,Reasonable Amount,Use In Recipes,Associated Food / Category,Brand Names,Associated Food / Category (Malay),Associated Food / Category (Tamil),Portion size estimation methods,Categories,,,,,,,
AABL,1,"Apple and blackcurrant squash (juice), diluted","Apple and blackcurrant squash (juice), diluted",,,,AUSNUT,01B30337,Inherited,Inherited,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false",DRNK,SQDK,,,,,,
AAMA,1,Apple and mango juice,Apple and mango juice,,,,AUSNUT,01B30365,Inherited,TRUE,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false
Method: guide-image, conversion: 1.0, guide-image-id: AUSHydBottle
Method: guide-image, conversion: 1.0, guide-image-id: AUSjuice",DRNK,FJCE,,,,,,
ACJU,1,Acai berry juice ,Acai berry juice ,,,,AUSNUT,01B20443,Inherited,Inherited,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false
Method: guide-image, conversion: 1.0, guide-image-id: AUSHydBottle
Method: guide-image, conversion: 1.0, guide-image-id: AUSjuice",DRNK,FJCE,,,,,,
ACNW,2,Apple crumble,Apple crumble,Epal crumble,"苹果馅饼, crumble","ஆப்பிள் க்ரம்பல், crumble",HPB,SIN00000064,FALSE,Inherited,Inherited,Inherited,"CREM({en: Did you have cream with your apple crumble?}),
ICEC({en: Did you have ice cream with your apple crumble?}),
CSTD({en: Did you have custard with your apple crumble?})
",,"CREM({ms: Adakah anda mengambil krim bersama Epal crumble?}),
ICEC({ms: Adakah anda mengambil aiskrim bersama Epal crumble?}),
CSTD({ms: Adakah anda mengambil kastad bersama Epal crumble?})","CREM({ta: ஆப்பிள் க்ரம்பல் உடன் சேர்த்து கிரீஞ் ப்ருலி \ கஸ்டாட் புட்டிங் சாப்பிட்டீர்களா?}),
ICEC({ta: ஆப்பிள் க்ரம்பல் உடன் சேர்த்து ஐஸ்கிரீம் சாப்பிட்டீர்களா?}),
CSTD({ta: ஆப்பிள் க்ரம்பல் உடன் சேர்த்து கஸ்டர்ட் சாப்பிட்டீர்களா?})","Method: as-served, conversion: 1.0, serving-image-set: NDNS_fruit_crumble, leftovers-image-set: NDNS_fruit_crumble_leftovers",DESS,FRTC,,,,,,
ADUK,2,"Adzuki beans, boiled","Adzuki beans, boiled","Kacang adzuki, rebus",红豆，煮熟的,"காராமணி, தட்டப்பயிறு, red beans",Australia,,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSallcans
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 2000, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 2000, unit1-omit-food-description: false",BBNS,SLW1,SW05,VTGB,,,,
AERM,1,"Aero mousse, any flavour","Aero mousse, any flavour",,,,AUSNUT,09D20129,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: pots, unit0-weight: 2000, unit0-omit-food-description: false",MOUS,YGRT,,,,,,
AERO,2,"Milk chocolate, with bubbles e.g. Aero, Dairy Milk Bubbly","Milk chocolate, with bubbles e.g. Aero, Dairy Milk Bubbly","Coklat Susu, berbentuk bebuih Contoh: Aero, Dairy Milk Bubbly",牛奶气泡巧克力，(例如 Aero，Dairy Milk Bubbly) ,"மில்க் சாக்லேட் ,  Aero, Dairy Milk Bubbly",Australia,12C10407,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSaero",BARS,CBAR,,,,,,
AGAV,2,Agave syrup / nectar,Agave syrup / nectar,Sirap/nektar agave,龙舌兰糖浆,நீலக்கத்தாழை சிரப் \ தேன்,Australia,14A10055,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 0.93, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 4.65, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 18.6, unit1-omit-food-description: false",HONI,SUGR,SW02,,,,,
AJCS,2,"Apple juice, sparkling e.g. Appletizer","Apple juice, sparkling e.g. Appletizer","Jus epal, bergas Contoh: Appletizer",苹果气泡果汁(例如 Appletizer),"ஆப்பிள் சாறு, ஸ்பார்க்கிளிங், குளிர்பானம், sparkling, Appletizer",HPB,01B30357,Inherited,TRUE,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false
Method: guide-image, conversion: 1.0, guide-image-id: AUScandrink
Method: guide-image, conversion: 1.0, guide-image-id: AUSFantaSolo",DRNK,SOFT,,,,,,
ALAS,2,Ice cream cake,Ice cream cake,Kek ais krim,冰淇淋蛋糕,"ஐஸ்கிரீம் கேக், பனிக்கூலி அணிச்சல், cake",Australia,09D10267,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: ice_cream, leftovers-image-set: ice_cream_leftovers",ICEC,ICEL,,,,,,
